"max_depth","lambda","eta","subsample","min_child_weight","colsample_bytree","alpha","gen","prob_corte","fitness"
3,0.61,0.019,0.9,9,0.2,0.51,30,0.0296,7094100
3,0.61,0.019,0.9,9,0.2,0.6,30,0.0303,7134900
37,0.54,0.057,0.9,3,0.2,0.56,30,0.0133,6705300
3,0.54,0.057,0.9,3,0.2,0.56,30,0.0219,7110900
3,0.61,0.019,0.9,9,0.2,0.56,30,0.0301,7141500
3,0.61,0.057,0.9,9,0.5,0.56,31,0.0214,7053900
3,0.54,0.417,0.9,3,0.2,0.6,31,0.026,6342300
3,0.54,0.019,0.9,9,0.2,0.65,31,0.0305,7079400
3,0.52,0.057,0.9,3,0.2,0.6,31,0.0209,7093800
3,0.61,0.057,0.9,2,0.2,0.56,31,0.02,7089000
3,0.54,0.019,0.7,9,0.2,0.56,31,0.0304,7106400
3,0.61,0.019,0.9,3,0.5,0.56,31,0.0335,7035600
3,0.54,0.057,0.9,1,0.2,0.56,31,0.0225,7097100
3,0.54,0.019,0.9,3,0.8,0.56,31,0.0327,7037400
3,0.61,0.057,0.9,2,0.2,0.6,31,0.0193,7069800
3,0.54,0.057,0.9,3,0.2,0.56,31,0.02,7122600
3,0.61,0.019,0.9,9,0.2,0.6,31,0.0303,7068000
3,0.54,0.057,0.9,9,0.9,0.56,32,0.0255,7085400
3,0.54,0.019,0.7,5,0.2,0.56,32,0.0302,7108800
8,0.54,0.057,0.7,9,0.2,0.56,32,0.0271,6967200
5,0.54,0.019,0.9,1,0.2,0.56,32,0.0295,7175700
3,0.54,0.09,0.9,1,0.2,0.56,32,0.0239,7036800
6,0.54,0.057,0.9,3,0.2,0.56,32,0.0244,7059600
3,0.54,0.057,0.9,3,0.2,0.5,32,0.0199,7070100
3,0.54,0.019,0.9,9,0.2,0.56,32,0.0299,7120800
3,0.54,0.057,0.7,3,0.2,0.56,32,0.0213,7058400
3,0.54,0.057,0.6,1,0.2,0.56,32,0.0214,7136400
3,0.54,0.057,0.9,3,0.2,0.56,32,0.0206,7047300
3,0.54,0.057,0.9,1,0.2,0.56,32,0.0217,7114500
3,0.54,0.057,0.9,1,0.3,0.56,33,0.0221,7123200
5,0.54,0.019,0.6,3,0.2,0.56,33,0.0304,7164300
3,0.54,0.019,0.5,9,0.2,0.56,33,0.0305,7106700
5,0.53,0.019,0.9,1,0.2,0.56,33,0.034,7151700
3,0.54,0.019,0.9,1,0.2,0.54,33,0.0299,7127700
5,0.68,0.019,0.9,9,0.2,0.56,33,0.0313,7188600
3,0.54,0.019,0.6,9,0.6,0.56,33,0.0335,7016700
3,0.54,0.057,0.9,1,0.9,0.56,33,0.0225,7053000
3,0.54,0.019,0.6,1,0.2,0.52,33,0.0298,7095300
3,0.54,0.057,0.9,9,0.2,0.57,33,0.0204,7080600
3,0.54,0.057,0.6,1,0.2,0.56,33,0.0214,7065300
3,0.54,0.019,0.9,9,0.2,0.56,33,0.03,7128600
5,0.54,0.019,0.6,6,0.2,0.56,34,0.0306,7185900
5,0.53,0.019,0.9,1,0.6,0.56,34,0.0342,7080000
5,0.54,0.291,0.6,1,0.2,0.56,34,0.0148,5526600
5,0.53,0.255,0.9,3,0.2,0.56,34,0.0236,6520500
5,0.54,0.019,0.6,9,0.2,0.65,34,0.0297,7110000
5,0.68,0.019,0.9,3,0.3,0.56,34,0.0336,7132500
5,0.53,0.019,0.8,3,0.2,0.56,34,0.0297,7140900
5,0.54,0.019,0.7,1,0.2,0.56,34,0.0305,7161900
5,0.68,0.019,0.9,9,0.2,0.64,34,0.0317,7104300
5,0.53,0.019,0.9,1,0.4,0.56,34,0.0335,7101300
5,0.68,0.019,0.9,9,0.2,0.56,34,0.0302,7115400
5,0.53,0.019,0.9,1,0.2,0.56,34,0.0298,7188300
5,0.53,0.019,0.9,2,0.2,0.56,35,0.0305,7133700
5,0.54,0.019,0.8,1,0.2,0.56,35,0.0306,7126500
5,0.54,0.019,0.7,1,0.2,0.55,35,0.0299,7196700
5,0.63,0.019,0.6,6,0.2,0.56,35,0.0299,7136400
46,0.53,0.019,0.6,1,0.2,0.56,35,0.0315,7135200
17,0.54,0.019,0.9,6,0.2,0.56,35,0.034,7154700
