Feature	Gain	Cover	Frequency
Master_mlimitecompra__tend	0.00043521637976872	NA	0.00146718146718147
Master_mconsumospesos__tend	0.000432624769270329	NA	0.00142857142857143
tpagomiscuentas__min	0.000431479696693549	NA	0.00150579150579151
mcajeros_propio__min	0.000431172571127666	NA	0.00127413127413127
Master_mconsumototal__min	0.000429995035154272	NA	0.00123552123552124
Master_msaldopesos__max	0.000429064757535497	NA	0.0011969111969112
ccambio_monedas_compra__tend	0.000428326112443212	NA	0.00135135135135135
mcaja_ahorro_Nopaquete__tend	0.00042766951098274	NA	0.00135135135135135
mcheques_depositados__max	0.000427667495403012	NA	0.00104247104247104
ttitulos__tend	0.000422497465999581	NA	0.0016988416988417
tplazo_fijo__tend	0.000422023926725226	NA	0.00131274131274131
tpaquete7	0.000416661961953991	NA	0.00104247104247104
tcajas_consultas__tend	0.000416552744676094	NA	0.00146718146718147
ttarjeta_debito__max	0.000411183423680755	NA	0.000772200772200772
ccomisiones_otras__min	0.000405861014890942	NA	0.00166023166023166
ccajeros_propios_descuentos__tend	0.000402926956663083	NA	0.00115830115830116
mpagodeservicios__max	0.000402552224353219	NA	0.00154440154440154
tcuenta_debitos_automaticos__max	0.000398808446859227	NA	0.00123552123552124
cprestamos_personales__min	0.000395789973621404	NA	0.000926640926640927
Visa_msaldodolares__min	0.000394064251314222	NA	0.00162162162162162
tcajas_depositos__max	0.000391380690307041	NA	0.00127413127413127
mfondos_comunes_inversion_pesos	0.000390687365268189	NA	0.00138996138996139
Visa_mlimitecompra__tend	0.00038705161386098	NA	0.00146718146718147
Master_msaldodolares__max	0.000383753675175171	NA	0.000965250965250965
ccajeros_ajenos_transacciones__tend	0.000382955635817592	NA	0.00135135135135135
Visa_mpagosdolares	0.000382944211753781	NA	0.00104247104247104
Master_mpagominimo__min	0.000376475133879314	NA	0.00154440154440154
mcambio_monedas_venta__tend	0.000374160278158447	NA	0.000888030888030888
mprestamos_prendarios	0.000368243201363752	NA	0.00142857142857143
mtitulos	0.000368241968448854	NA	0.00115830115830116
tcajas_extracciones__max	0.000366121825707709	NA	0.00135135135135135
tcajas_depositos__tend	0.000362373816229892	NA	0.00127413127413127
tcajas_extracciones__tend	0.000359693518847941	NA	0.00111969111969112
Master_mpagado__tend	0.000358269754776446	NA	0.00131274131274131
mcajeros_ajenos__min	0.00034003920843716	NA	0.000888030888030888
mplazo_fijo_dolares__max	0.000339768987329139	NA	0.00127413127413127
tfondos_comunes_inversion__tend	0.000338252099897866	NA	0.001003861003861
ttarjeta_master_debitos_automaticos__max	0.000334709593812268	NA	0.00127413127413127
tcambio_monedas__tend	0.000327984796366553	NA	0.00108108108108108
ctarjeta_master_transacciones__min	0.000327486542856865	NA	0.001003861003861
tcajas_otras__max	0.000317974705292656	NA	0.00104247104247104
mcheques_depositados	0.000317613562556853	NA	0.00115830115830116
internet	0.000312161786652399	NA	0.000540540540540541
ccheques_emitidos_rechazados	0.000311854101712706	NA	0.000579150579150579
mtransferencias_emitidas	0.000310552492043226	NA	0.00123552123552124
cprestamos_prendarios__tend	0.000310406895293542	NA	0.000501930501930502
internet__tend	0.000307446523112954	NA	0.00127413127413127
Visa_madelantopesos__tend	0.000307244519933577	NA	0.00111969111969112
mcaja_ahorro_Nopaquete__min	0.000306037072591952	NA	0.000965250965250965
ctarjeta_master_descuentos__tend	0.000305843227787893	NA	0.00123552123552124
mpagomiscuentas__min	0.000302641209560164	NA	0.000965250965250965
ccajeros_ajenos_transacciones	0.000296000434187237	NA	0.000772200772200772
Visa_tadelantosefectivo__tend	0.000293217549482546	NA	0.000810810810810811
Master_msaldodolares	0.000292675253538378	NA	0.000656370656370656
mcambio_monedas_venta	0.000290572875042228	NA	0.000965250965250965
tcuenta_debitos_automaticos__min	0.000281744075540805	NA	0.000810810810810811
ttarjeta_debito__tend	0.000280351327830068	NA	0.00115830115830116
tpagodeservicios__tend	0.000278964701136023	NA	0.00111969111969112
tseguro_vivienda__tend	0.000278442028667014	NA	0.0011969111969112
Master_mpagosdolares	0.000269393033040798	NA	0.000386100386100386
mprestamos_prendarios__min	0.000262961477227901	NA	0.00115830115830116
mcheques_emitidos__max	0.000262317891524831	NA	0.000810810810810811
mcaja_ahorro_Nopaquete	0.000261566403530821	NA	0.000810810810810811
Visa_msaldodolares__tend	0.00025945381508713	NA	0.001003861003861
tcaja_seguridad__max	0.00025573015487616	NA	0.000656370656370656
Master_mpagosdolares__max	0.00025544227910539	NA	0.000810810810810811
Master_tconsumos__min	0.000252080360893806	NA	0.000810810810810811
mfondos_comunes_inversion_pesos__tend	0.000251757836959041	NA	0.000888030888030888
Master_Finiciomora__min	0.000249744012380547	NA	0.000849420849420849
Master_msaldodolares__tend	0.000246903569944821	NA	0.00108108108108108
tcajas_extracciones	0.000243889708331407	NA	0.000231660231660232
ccambio_monedas_venta__tend	0.000242930913193894	NA	0.000733590733590734
ttarjeta_debito	0.00023997267626235	NA	0.00108108108108108
mcheques_emitidos__tend	0.000237440070989354	NA	0.000926640926640927
cprestamos_hipotecarios	0.000235418524759766	NA	0.001003861003861
ccajeros_propio_transacciones__min	0.000233095263301145	NA	0.000733590733590734
tcambio_monedas__max	0.000231776283240852	NA	0.000733590733590734
mfondos_comunes_inversion_dolares__tend	0.000230969439706307	NA	0.000772200772200772
ccambio_monedas_venta__max	0.000230248030892671	NA	0.00104247104247104
mprestamos_prendarios__max	0.000227716067524047	NA	0.000849420849420849
mplazo_fijo_pesos__tend	0.000227025870852003	NA	0.000849420849420849
Visa_madelantopesos	0.000226778932991068	NA	0.00027027027027027
Master_mpagado	0.000221424662360739	NA	0.000849420849420849
ccheques_depositados__tend	0.000218859918769844	NA	0.000926640926640927
Visa_madelantopesos__max	0.000215650424877946	NA	0.000733590733590734
mcajeros_propios_descuentos__max	0.000213245877234672	NA	0.000810810810810811
Visa_mpagosdolares__min	0.000212831428008789	NA	0.000694980694980695
mcajeros_propios_descuentos__tend	0.000211610098568111	NA	0.000849420849420849
ctransferencias_emitidas	0.000211282154667931	NA	0.000656370656370656
mtarjeta_master_consumo__max	0.000210107354124169	NA	0.000772200772200772
ccheques_emitidos	0.000208852688755434	NA	0.000926640926640927
